"Regional","Elemento","Rodovia","KM","Largura (m)","Latitude","Longitude"
"DR 01","Acesso","SPA 109/008","0,282","4,5","-22,815972","-46,544196"
"DR 01","Acesso","SPA 031/107","0,284","4","-22,632406","-47,037564"
"DR 01","Acesso","SPA 148/360","0,665","4,5","-22,607848","-46,715639"
"DR 01","Acesso","SP 073","0,752","4","-22,937424","-47,073622"
"DR 01","Acesso","SP 107","0,801","8","-22,720061","-46,855835"
"DR 01","Acesso","SPA 148/360","0,855","4,5","-22,607613","-46,717501"
"DR 01","Acesso","SPA 148/360","0,972","5","-22,607769","-46,718616"
"DR 01","Acesso","SPA 148/360","1,072","4,5","-22,607321","-46,719481"
"DR 01","Acesso","SPA 137/360","1,106","4,5","-22,688188","-46,732987"
"DR 01","Acesso","SPA 066/300","1,134","2","-23,17778","-46,977992"
"DR 01","Acesso","SPA 109/008","1,165","5","-22,810091","-46,538528"
"DR 01","Acesso","SP 105","1,18","6","-22,594924","-46,70553"
"DR 01","Acesso","SP 081","1,233","16","-22,878684","-46,956202"
"DR 01","Acesso","SPA 148/360","1,445","4,5","-22,605281","-46,722383"
"DR 01","Acesso","SP 105","1,454","6","-22,592556","-46,706168"
"DR 01","Acesso","SP 073","1,465","6","-22,943001","-47,071312"
"DR 01","Acesso","SPA 053/332","1,592","2","-23,242015","-46,827561"
"DR 01","Acesso","SPA 127/340","1,734","4","-22,72813","-47,019832"
"DR 01","Acesso","SPA 009/010","1,761","5","-22,914938","-46,459743"
"DR 01","Acesso","SPA 148/360","1,767","4,5","-22,605591","-46,725492"
"DR 01","Acesso","SPA 009/010","1,78","4,5","-22,914861","-46,459919"
"DR 01","Acesso","SPA 113/008","1,879","4","-22,782634","-46,57708"
"DR 01","Acesso","SPA 109/008","1,979","8","-22,806136","-46,53218"
"DR 01","Acesso","SP 081","1,982","2","-22,881885","-46,951325"
"DR 01","Acesso","SPA 003/010","2,05","4,5","-22,896195","-46,382156"
"DR 01","Acesso","SPA 113/008","2,058","4","-22,782654","-46,578831"
"DR 01","Acesso","SPA 003/010","2,059","4,5","-22,896109","-46,381946"
"DR 01","Acesso","SPA 148/360","2,092","5","-22,606824","-46,728424"
"DR 01","Acesso","SP 073","2,119","4","-22,9487","-47,073028"
"DR 01","Acesso","SPA 109/008","2,13","8","-22,806681","-46,530758"
"DR 01","Acesso","SPA 113/008","2,141","4","-22,782661","-46,579608"
"DR 01","Acesso","SPA 127/340","2,251","4","-22,732629","-47,018447"
"DR 01","Acesso","SPA 109/008","2,273","6","-22,807005","-46,529413"
"DR 01","Acesso","SPA 053/332","2,352","2","-23,235279","-46,828043"
"DR 01","Acesso","SPA 137/360","2,404","8","-22,692691","-46,722257"
"DR 01","Acesso","SPA 109/008","2,476","8","-22,806815","-46,527395"
"DR 01","Acesso","SPA 127/340","2,507","4","-22,734743","-47,017482"
"DR 01","Acesso","SPA 137/360","2,532","5","-22,693225","-46,721226"
"DR 01","Acesso","SPA 137/360","2,57","10","-22,693382","-46,72087"
"DR 01","Acesso","SPA 053/332","2,692","2","-23,232681","-46,829704"
"DR 01","Acesso","SPA 137/360","2,758","5","-22,694334","-46,719292"
"DR 01","Acesso","SPA 066/300","2,875","2","-23,172582","-46,994016"
"DR 01","Acesso","SPA 109/008","2,88","6","-22,804705","-46,524259"
"DR 01","Acesso","SPA 066/300","2,893","2","-23,172518","-46,994182"
"DR 01","Acesso","SPA 003/010","3,062","4,5","-22,904442","-46,381629"
"DR 01","Acesso","SPA 009/010","3,112","5","-22,909752","-46,471598"
"DR 01","Acesso","SPA 109/008","3,198","6","-22,802655","-46,522268"
"DR 01","Acesso","SPA 109/008","3,217","6","-22,802413","-46,522144"
"DR 01","Acesso","SP 095","3,276","4,5","-22,926086","-46,560995"
"DR 01","Acesso","SP 105","3,435","4,5","-22,589351","-46,721947"
"DR 01","Acesso","SPA 053/332","3,54","4","-23,225595","-46,831899"
"DR 01","Acesso","SP 073","3,547","4","-22,960452","-47,078328"
"DR 01","Acesso","SP 081","3,731","4","-22,891067","-46,937675"
"DR 01","Acesso","SPA 053/332","3,774","4","-23,224196","-46,830168"
"DR 01","Acesso","SP 105","3,894","4,5","-22,591059","-46,725731"
"DR 01","Acesso","SPA 109/008","4,096","6","-22,800682","-46,513939"
"DR 01","Acesso","SPA 109/008","4,293","8","-22,799745","-46,512312"
"DR 01","Acesso","SPA 109/008","4,352","6","-22,7995","-46,511829"
"DR 01","Acesso","SPA 009/010","4,427","4,5","-22,91021","-46,484368"
"DR 01","Acesso","SPA 109/008","4,43","6","-22,799351","-46,511038"
"DR 01","Acesso","SPA 009/010","4,437","4,5","-22,910378","-46,484387"
"DR 01","Acesso","SP 073","4,955","4","-22,971993","-47,083888"
"DR 01","Acesso","SPA 109/008","5,006","6","-22,798294","-46,505688"
"DR 01","Acesso","SPA 109/008","5,025","6","-22,798198","-46,50538"
"DR 01","Acesso","SPA 109/008","5,072","7","-22,798297","-46,504992"
"DR 01","Acesso","SP 095","5,09","4,5","-22,916256","-46,572087"
"DR 01","Acesso","SPA 003/010","5,291","4,5","-22,916484","-46,383832"
"DR 01","Acesso","SPA 066/300","5,312","2","-23,16319","-47,015555"
"DR 01","Acesso","SP 107","5,556","4,5","-22,685791","-46,881379"
"DR 01","Acesso","SP 107","5,769","4,5","-22,684415","-46,882878"
"DR 01","Acesso","SPA 009/010","5,801","7","-22,916439","-46,495692"
"DR 01","Acesso","SPA 009/010","5,829","6","-22,916636","-46,495871"
"DR 01","Acesso","SPA 137/360","6,305","12","-22,696956","-46,690429"
"DR 01","Acesso","SP 073","6,4","4","-22,98451","-47,085189"
"DR 01","Acesso","SP 105","6,496","4,5","-22,576399","-46,741361"
"DR 01","Acesso","SPA 137/360","6,578","8","-22,694879","-46,689095"
"DR 01","Acesso","SPA 137/360","6,587","8","-22,694799","-46,689012"
"DR 01","Acesso","SPA 009/010","6,591","5","-22,921819","-46,500753"
"DR 01","Acesso","SP 107","6,608","5","-22,677488","-46,880983"
"DR 01","Acesso","SP 073","6,637","4","-22,986593","-47,085105"
"DR 01","Acesso","SP 105","6,681","5","-22,57668","-46,742864"
"DR 01","Acesso","SPA 109/008","6,791","4,5","-22,80295","-46,490491"
"DR 01","Acesso","SPA 109/008","6,81","8","-22,802739","-46,490321"
"DR 01","Acesso","SPA 109/008","6,829","6","-22,802687","-46,490136"
"DR 01","Acesso","SPA 109/008","6,857","5","-22,802718","-46,489821"
"DR 01","Acesso","SPA 109/008","7,011","6","-22,802128","-46,488453"
"DR 01","Acesso","SP 073","7,17","2","-22,991277","-47,085935"
"DR 01","Acesso","SP 073","7,239","4","-22,991941","-47,086028"
"DR 01","Acesso","SP 073","7,368","2","-22,993054","-47,085759"
"DR 01","Acesso","SPA 137/360","7,572","5","-22,689841","-46,683448"
"DR 01","Acesso","SPA 109/008","7,736","5","-22,801979","-46,481749"
"DR 01","Acesso","SPA 109/008","7,746","4,5","-22,802122","-46,481705"
"DR 01","Acesso","SPA 109/008","7,849","5","-22,802182","-46,480704"
"DR 01","Acesso","SP 073","7,968","4","-22,998394","-47,084884"
"DR 01","Acesso","SP 105","7,981","8","-22,571181","-46,749556"
"DR 01","Acesso","SP 073","8,027","4","-22,998939","-47,084795"
"DR 01","Acesso","SPA 003/010","8,08","4,5","-22,930279","-46,36697"
"DR 01","Acesso","SP 073","8,104","4","-22,999612","-47,084784"
