"Regional","Rodovia","Denominação","KM","Trecho","Município","Edital"
"DR 01","SP 324","Miguel Melhado Campos","84+350","Indaiatuba/Vinhedo","Campinas","42018"
"DR 01","SP 008","Pedro Astenori Marigliani (Capitão Bardoíno)","100+140","Socorro/Bragança Paulista","Bragança Paulista","42018"
"DR 01","SP 008","Pedro Astenori Marigliani (Capitão Bardoíno)","102+350","Bragança Paulista/Socorro","Bragança Paulista","42018"
"DR 01","SP 063","Luciano Consoline","30+700","Itatiba/Bragança Paulista","Itatiba","42018"
"DR 01","SP 095","João Beira","62+880","Pedreira/Jaguariuna","Pedreira","42018"
"DR 01","SP 133","Deputado João Herrmann Neto","13+800","Cosmópolis/Limeira","Cosmópolis","42018"
"DR 01","SP 147","Monsenhor Clodoaldo de Paiva","29+000","Itapira/Lindóia","Itapira","42018"
"DR 01","SP 354","Edgard Máximo Zambotto","63+050","Campo Limpo Paulista/Jarinu","Jarinu","42018"
"DR 01","SP 354","Edgard Máximo Zambotto","79+200","Jarinu/Campo Limpo Paulista","Atibaia","42018"
"DR 01","SP 360","Constancio Cintra, Engenheiro","114+150","Morungaba/Amparo","Amparo","42018"
"DR 02","SP 079","Raimundo Antunes Soares","100+200","Piedade/Sorocaba","Votorantim","42018"
"DR 02","SP 079","Raimundo Antunes Soares","112+000","Sorocaba/Piedade","Piedade","42018"
"DR 02","SP 097","Doutor Antonio Pires de Almeida","19+000","Sorocaba/Porto Feliz","Porto Feliz","42018"
"DR 02","SP 129","Gladys Bernardes Minhoto","63+200","Tatui/Itapetininga","Itapetininga","42018"
"DR 02","SP 129","Gladys Bernardes Minhoto","65+500","Itapetininga/Tatuí","Itapetininga","42018"
"DR 02","SP 250","Bunjiro Nakao","72+624","Piedade/Ibiúna","Ibiúna","42018"
"DR 02","SP 250","Nestor Fogaça","159+846","São Miguel Arcanjo/Pilar do Sul","São Miguel Arcanjo","42018"
"DR 02","SP 264","João Leme Dos Santos","111+805","Salto Pirapora/Sorocaba","Salto de Pirapora","42018"
"DR 03","SP 304","Leonidas Pacheco Ferreira, Deputado","324+500","Bariri/Jau","Bariri","42018"
"DR 03","SP 321","Cezario José de Castilho","369+600","Bauru/Iacanga","Arealva","42018"
"DR 04","SP 253","Cunha Bueno, Deputado","207+000","Jaboticabal/Pradopolis","Guariba","42018"
"DR 04","SP 253","Cunha Bueno, Deputado","209+000","Pradopolis/Jaboticabal","Jaboticabal","42018"
"DR 04","SP 304","Leonidas Pacheco Ferreira, Deputado","354+000","Itaju/Ibitinga","Ibitinga","42018"
"DR 04","SP 331","Victor Maida, Deputado","12+000","Gavião Peixoto/Araraquara","Gavião Peixoto","42018"
"DR 05","SP 139","Empei Hiraide","10+200","Sete Barras/Registro","Sete Barras","42018"
"DR.05","SP 226","s/d","1+300","Registro/Pariquera-Açu","Paruquera-Açú","42018"
"DR 06","SP 050","Monteiro Lobato","100+500","Monteiro Lobato/São José dos Campos","São José dos Campos","42018"
"DR 06","SP 052","Doutor Avelino Junior","222+000","Cruzeiro/Sul de Minas Gerais","Cruzeiro","42018"
"DR 06","SP 123","Floriano Rodrigues Pinheiro","25+991","Taubaté/Campos do Jordão","Pindamonhangaba","42018"
"DR 06","SP 171","Paulo Virgilio","2+800","Cunha/BR 116","Guaratinguetá","42018"
"DR 08","SP 291","Mario Donega","23+975","Dumont/Pradópolis","Pradópolis","42018"
"DR 08","SP 333","Abrão Assed","16+940","Cajuru/Serrana","Santa Cruz da Esperança","42018"
"DR 08","SP 333","Abrão Assed","48+100","Ribeirão Preto/Serrana","Ribeirão Preto","42018"
"DR 08","SP 351","Altino Arantes","18+900","Santo Antonio Alegria/Altinópolis","Altinópolis","42018"
"DR 09","SP 304","s/d","410+000","Ibitinga/Novo Horizonte","Novo Horizonte","42018"
"DR 09","SP 310","Rodovia Feliciano Sales da Cunha","495+700","Nandeara/Monte Aprazível","Monte Aprazível","42018"
"DR 09","SP 320","Euclides da Cunha","460+700","Bálsamo/Votuporanga","Bálsamo","42018"
"DR 09","SP 379","Roberto Mario Perosa","14+000","Ibirá/Urupês","Ibirá","42018"
