"Regional","Elemento","Rodovia","KM","Tipo","Extensão (m)","Dimensão (m)","Latitude montante","Longitude montante","Latitude jusante","Longitude jusante"
"DR 01","Bueiro","SPA 009/010","0,000","Bueiro Simples Tubular de Concreto","14","0,6","-22.922","-46.4454","-22.922","-46.4453"
"DR 01","Bueiro","SPA 066/300","0,120","Bueiro Simples Tubular de Concreto","30","0,6","-23.1812","-46.9709","-23.1797","-46.973"
"DR 01","Bueiro","SPA 003/010","0,140","Bueiro Simples Tubular de Concreto","19,6","1","-22.8856","-46.3885","-22.8854","-46.3884"
"DR 01","Bueiro","SPA 021/010","0,200","Bueiro Simples Tubular de Concreto","28,4","0,6","-22.9922","-46.5127","-22.9922","-46.5129"
"DR 01","Bueiro","SP 073","0,440","Bueiro Simples Tubular de Concreto","19,31","0,4","-22.9377","-47.0732","-22.9372","-47.0736"
"DR 01","Bueiro","SP 073","0,450","Bueiro Simples Tubular de Concreto","10","0,8","-22.9384","-47.0728","-22.9382","-47.0729"
"DR 01","Bueiro","SPA 115/330","0,490","Bueiro Simples Tubular de Concreto","11","0,4","-22.7931","-47.228","-22.793","-47.2278"
"DR 01","Bueiro","SPA 110/330","0,500","Bueiro Simples Tubular de Concreto","20","1,5","-22.8145","-47.1942","-22.8146","-47.1942"
"DR 01","Bueiro","SPA 066/300","0,500","Bueiro Simples Tubular de Concreto","10","0,6","-23.1796","-46.9726","-23.1795","-46.9727"
"DR 01","Bueiro","SPA 075/330","0,600","Bueiro Simples Tubular de Concreto","10","0,6","-23.0505","-46.9861","-23.05","-46.986"
"DR 01","Bueiro","SP 081","0,600","Bueiro Simples Tubular de Concreto","10","0,6","-22.8815","-46.9539","-22.8809","-46.9552"
"DR 01","Bueiro","SPA 135/065","0,600","Bueiro Simples Tubular de Concreto","13","0,6","-22.8511","-47.0426","-22.8511","-47.0426"
"DR 01","Bueiro","SPA 135/065","0,650","Bueiro Simples Tubular de Concreto","13","0,6","-22.8516","-47.0428","-22.8513","-47.0426"
"DR 01","Bueiro","SPA 135/065","0,700","Bueiro Simples Tubular de Concreto","15","0,6","-22.8517","-47.0428","-22.8515","-47.0427"
"DR 01","Bueiro","SP 081","0,700","Bueiro Simples Tubular de Concreto","11","0,4","-22.87897","-46.95608","-22.87892","-46.95622"
"DR 01","Bueiro","SPA 110/330","0,730","Bueiro Simples Tubular de Concreto","7,8","1","-22.813","-47.1949","-22.813","-47.1948"
"DR 01","Bueiro","SPA 135/065","0,750","Bueiro Simples Tubular de Concreto","7","0,6","-22.8521","-47.0429","-22.8521","-47.0429"
"DR 01","Bueiro","SPA 110/330","0,770","Bueiro Simples Tubular de Concreto","10","0,8","-22.8135","-47.1937","-22.8135","-47.1937"
"DR 01","Bueiro","SP 073","0,870","Bueiro Simples Tubular de Concreto","23,32","0,8","-22.9421","-47.0709","-22.9421","-47.0709"
"DR 01","Bueiro","SP 073","0,880","Bueiro Simples Tubular de Concreto","14,68","0,6","-22.9421","-47.0709","-22.9421","-47.0709"
"DR 01","Bueiro","SP 081","0,880","Bueiro Simples Tubular de Concreto","11","0,6","-22.88087","-46.95518","-22.8808","-46.95534"
"DR 01","Bueiro","SPA 082/330","1,000","Bueiro Simples Tubular de Concreto","15,3","0,6","-23.0055","-47.0124","-23.0055","-47.0123"
"DR 01","Bueiro","SPA 115/330","1,010","Bueiro Simples Tubular de Concreto","18,04","0,6","-22.7931","-47.2869","-22.7929","-47.2868"
"DR 01","Bueiro","SPA 115/330","1,050","Bueiro Simples Tubular de Concreto","19,29","1","-22.7969","-47.2325","-22.7968","-47.2325"
"DR 01","Bueiro","SP 167","1,150","Bueiro Simples Tubular de Concreto","11","0,6","-22.4062","-46.951","-22.4063","-46.951"
"DR 01","Bueiro","SPA 075/330","1,200","Bueiro Simples Tubular de Concreto","10","0,6","-23.0505","-46.9861","-23.0505","-46.986"
"DR 01","Bueiro","SP 081","1,210","Bueiro Simples Tubular de Concreto","27,5","0,6","-22.88134","-46.95191","-22.88155","-46.95181"
"DR 01","Bueiro","SPA 110/330","1,250","Bueiro Simples Tubular de Concreto","18,23","1","-22.8111","-47.1913","-22.8111","-47.1913"
"DR 01","Bueiro","SPA 075/330","1,300","Bueiro Simples Tubular de Concreto","10","0,6","-23.05","-46.9861","-23.0498","-46.986"
"DR 01","Bueiro","SPA 110/330","1,320","Bueiro Simples Tubular de Concreto","20,14","1,5","-22.8108","-47.1905","-22.8107","-47.1903"
"DR 01","Bueiro","SPA 110/330","1,370","Bueiro Simples Tubular de Concreto","10","0,6","-22.8107","-47.1903","-22.8107","-47.1903"
"DR 01","Bueiro","SP 073","1,370","Bueiro Simples Tubular de Concreto","18,57","0,6","-22.9451","-47.0719","-22.9452","-47.0718"
"DR 01","Bueiro","SPA 075/330","1,390","Bueiro Simples Tubular de Concreto","10","0,6","-23.0493","-46.986","-23.0491","-46.9858"
"DR 01","Bueiro","SPA 053/332","1,420","Bueiro Simples Tubular de Concreto","12,7","0,6","-22.994","-46.7992","-23.2426","-46.8276"
"DR 01","Bueiro","SPA 113/008","1,450","Bueiro Simples Tubular de Concreto","8,4","0,3","-22.7819","-46.5728","-22.7817","-46.573"
"DR 01","Bueiro","SPA 053/332","1,530","Bueiro Simples Tubular de Concreto","17,1","1","-23.2413","-46.8275","-23.2413","-46.8273"
"DR 01","Bueiro","SPA 110/330","1,600","Bueiro Simples Tubular de Concreto","20","1","-22.8104","-47.1904","-22.813","-47.1949"
"DR 01","Bueiro","SPA 110/330","1,750","Bueiro Simples Tubular de Concreto","21","1","-22.8097","-47.1885","-22.8097","-47.1886"
"DR 01","Bueiro","SPA 113/008","1,790","Bueiro Simples Tubular de Concreto","16","0,6","-22.7826","-46.576","-22.7827","-46.5761"
"DR 01","Bueiro","SPA 110/330","1,800","Bueiro Simples Tubular de Concreto","23","0,6","-22.8094","-47.188","-22.8095","-47.1881"
"DR 01","Bueiro","SP 081","2,000","Bueiro Simples Tubular de Concreto","40","0,6","-22.8861","-46.9452","-22.8862","-46.9451"
"DR 01","Bueiro","SPA 110/330","2,050","Bueiro Simples Tubular de Concreto","18","0,8","-22.8081","-47.1848","-22.8081","-47.1848"
"DR 01","Bueiro","SPA 021/010","2,050","Bueiro Simples Tubular de Concreto","16","0,8","-22.9832","-46.5251","-22.9833","-46.5252"
"DR 01","Bueiro","SPA 110/330","2,100","Bueiro Simples Tubular de Concreto","20","1","-22.8079","-47.1839","-22.8078","-47.1839"
"DR 01","Bueiro","SPA 021/010","2,160","Bueiro Simples Tubular de Concreto","21","0,6","-22.9823","-46.5258","-22.9824","-46.5262"
"DR 01","Bueiro","SPA 021/010","2,170","Bueiro Simples Tubular de Concreto","21","0,6","-22.9821","-46.5264","-22.9822","-46.5264"
"DR 01","Bueiro","SPA 021/010","2,180","Bueiro Simples Tubular de Concreto","21","0,6","-22.982","-46.5263","-22.982","-46.5263"
"DR 01","Bueiro","SPA 021/010","2,200","Bueiro Simples Tubular de Concreto","21","0,6","-22.9816","-46.5265","-22.9817","-46.5265"
"DR 01","Bueiro","SPA 115/330","2,290","Bueiro Simples Tubular de Concreto","11","0,8","-22.804","-47.2428","-22.8039","-47.2429"
"DR 01","Bueiro","SPA 115/330","2,291","Bueiro Simples Tubular de Concreto","11","0,8","-22.8042","-47.243","-22.8041","-47.243"
