"Regional","Elemento","Rodovia","KM inicial","KM final","Tipo","Extensão (m)","Latitude","Longitude"
"DR 01","OAE","SP 008","58,38","58,38","OAE","Não se aplica*","-23,168629","-46,575789"
"DR 01","OAE","SP 008","59,635","59,71","Viaduto","75",,
"DR 01","OAE","SP 008","60,186","60,196","Ponte","10",,
"DR 01","OAE","SP 008","69,36","69,376","Viaduto","16",,
"DR 01","OAE","SP 008","71,781","71,781","Passarela","Não se aplica*","-23,074919","-46,565778"
"DR 01","OAE","SP 008","97,582","97,621","Ponte","39",,
"DR 01","OAE","SP 008","123,429","123,438","Ponte","9",,
"DR 01","OAE","SP 008","136,753","136,861","Ponte","108",,
"DR 01","OAE","SP 008","140,144","140,201","Ponte","57",,
"DR 01","OAE","SP 036","57,376","57,454","Ponte","78",,
"DR 01","OAE","SP 036","65,16","65,189","Ponte","29",,
"DR 01","OAE","SP 036","76,814","76,833","Viaduto","19",,
"DR 01","OAE","SP 036","77,283","77,313","Ponte","30",,
"DR 01","OAE","SP 036","81,57","81,59","Ponte","20",,
"DR 01","OAE","SP 036","83,425","83,455","Ponte","30",,
"DR 01","OAE","SP 036","84,843","84,862","Ponte","19",,
"DR 01","OAE","SP 036","101,033","101,191","Ponte","158",,
"DR 01","OAE","SP 063","18,969","19,252","Viaduto","283",,
"DR 01","OAE","SP 063","19,947","19,947","Passarela","Não se aplica*","-23,014241","-46,835172"
"DR 01","OAE","SP 063","20,464","20,504","Viaduto","40",,
"DR 01","OAE","SP 063","24,696","24,884","Viaduto","188",,
"DR 01","OAE","SP 063","24,755","24,923","Viaduto","168",,
"DR 01","OAE","SP 063","25,876","25,936","Ponte","60",,
"DR 01","OAE","SP 063","84,648","84,678","Ponte","30",,
"DR 01","OAE","SP 073","4,879","4,898","Ponte","19",,
"DR 01","OAE","SP 073","6,646","6,665","Ponte","19",,
"DR 01","OAE","SP 073","7,269","7,279","Ponte","10",,
"DR 01","OAE","SP 073","9,623","9,651","Ponte","28",,
"DR 01","OAE","SP 073","24,136","24,184","Viaduto","48",,
"DR 01","OAE","SP 081","0,139","0,178","Ponte","39",,
"DR 01","OAE","SP 091","92,103","92,103","Passarela","Não se aplica*","-22,946081","-47,029331"
"DR 01","OAE","SP 095","11,298","11,387","Ponte","89",,
"DR 01","OAE","SP 095","11,676","11,696","Ponte","20",,
"DR 01","OAE","SP 095","47,771","47,789","Ponte","18",,
"DR 01","OAE","SP 095","58,714","58,714","Passarela","Não se aplica*","-22,737553","-46,926181"
"DR 01","OAE","SP 105","1,74","1,75","Ponte","10",,
"DR 01","OAE","SP 105","10,505","10,525","Ponte","20",,
